저는 새학기 활동중인 고2 박태빈인데요,1
저는 익명이라고 합니다,1
저는 양지웅이라고 합니다,1
시험을 지금 2번을 쳤는데 평균 70점 중반대 정도로 나옵니다,1
몇년간 공부를 아예 놓아 와서 내신 6등급에 모의고사 4등급 정도 나오는데요,1
제가 학교내신은 그리 나쁜 편이 아니거든요,1
내신을 더 올릴 의지는 있어요,1
물론 대학교에서는 성적을 제일 위주로 보겠지만 저는 성적보다는 비교과를 열심히 챙겨왔습니다,1
중학교 성적은 9개반중에서 매번 반에서 항상 12등은 합니다,1
미국에 유학을 가고 싶어 하여 19년 중학교 1학년 1학기 과정을 하고 미시건에 있는 쉐레인 7학년에 입학을 하였습니다,1
아니라면 문과에서 이과로 교차지원 한 것이기 때문에 사회과목만을 가지고 평가하나요 3 12학년때 학교공부를 소홀히해 전체 내신 평균이 37이고 강원대를 목표로 하고있는데성적은 3학년때 더 올릴예정 3점대 중반까지 맞추면 지원시 안정권인가요 ,1
아직 중학생이지만 고등학교 가서 무엇을 하며 내신을 딸 지 고민이에요,1
안녕하세요 아직 중학교에 입학하지 못한 이제 14살 중 1 입니다  14살  누가 보면 진로를 정하기에 충분한 나이이고 또 누구에겐 늦은 나이일 것 같습니다,1
내신 등급이 낮은 저에게 수시로 갈 수 있는 학교가 궁금하고 결정할 때 오로지 저의 의견만 중요한 것인 지 궁금합니다,1
외고에 가서 내신을 잘 받을 자신이 없습니다,1
저는 학교 내신도 바닥이고 그렇다고 100 정시로 대학을 갈 자신도 없다보니 알게되었습니다,1
그래서 저는 등급 컷만이 아니라 각 대학교에서 무엇을 위주로 학생들을 뽑는지에 관해서 궁금증이 많고 알고 싶습니다,1
저는 15살 그냥 한 학생입니다,1
안녕하세요 한 중2 남학생입니다,1
그래서 제가 다문화 학생이라고 하기에 에매한 상황 입니다,1
가형개념은 다 하고 이제 기출 푸는 중입니다,1
이제 15살이된 학생인데 전 공부를 정말 못합니다,1
안녕하세요 경기도 거주하는 19살 학교 밖 청소년입니다,1
저는 일반고에 재학 중인 한 여학생입니다,1
이제 국제고에 막 입학하는 여학생입니다,1
요즈음 학교 내신도 그렇고 아무리 생각을 해봐도 공부와 관련된 직업을 갖고싶지 않다는 생각이 들어 급히 다른 직업을 조사하면서 제 꿈을 찾고있습니다,1
한국에서는 좋은 대학에 갈 가능성이 아예 없어요,1
올 해 16살이 된 여중생입니다,1
나중에 대학교 졸업하고 삼성에 취직을 하고 싶은데 중2때까지의 성적이 좋지가 않습니다,1
진로를 찾고 있는 예비고1 입니다,1
방금 진로 탐색을 마치고 온 15세 학생입니다,1
요즈음 진로에 관해 고민이 많은 고1입니다,1
요즈음 진로때문에 고민이 많은 고등학교 2학년입니다,1
진로 고민이 많은 고2 여학생입니다,1
한창 진로 때문에 고민하고 있는 중 1입니다,1
안녕하세요 꾸준히 진로에 대한 고민을 이어온 예비고1입니다,1
현재 고등학교에 2학년으로 재학중이며 현재 미래에 대한 고민이 많은 상태입니다,1
현재 저는 중학교 3학년을 재학중이고 진학 진로에 대해 고민이 많습니다,1
전 지금 중간보다 살짝 밑인데 전 가능성이 없을까요 ,1
사실 저는 사교육을 태권도 미술 피아노를 빼고 이때까지 받은적이 한번도 없었지만 지금까지 전교 10위권 내에서 계속 우수한 성적을 받아왔습니다,1
그러던 도중 이젠 더이상 한가한 일명 초딩이 아닌 예비중 이라는 막다른 골목 에 들어서게 되었답니다,1
서울에 살고있는 중3여학생입니다,1
전 14살인 중학생입니다,1
제 성적은 지금 국영수과는 왠만하면 95점 이상받고 있긴한데 저희학교가 시험수준이 좀 낮은곳이고 또 저같은 아이들이 많은데 인문계에 들아가서 상대평가로 시험을보게돼면 제가 자신이 없어서 특성화고를 고민중이에요,1
고등학교에 입학한 지 얼마 되지 않은 17살 여학생입니다,1
며칠 전에 외국에서 교사가 되는 법을 상담한 학생입니다,1
저는 약 1년 뒤면 고등학교에 가야 되는 중학생입니다,1
특성화고 재학중인 이제 고3 되는 학생인데요,1
전 이제 스물이 되는 19살입니다,1
저는 이제 중1이 된 학생인데요,1
저는 이제 중3이 되는 학생인데요,1
이제 고1되는 학생인데요,1
중2때 그냥 시험점수는 평균 48점 수행 다합친 내신은 82점 입니다,1
유니브 프로그램에서 1 2학년 평균낸 결과 1점 중반대가 나왔기 때문에 정시는 고민하고 있지 않습니다,1
내신도 23점대로 나쁘지 않은 정도입니다,1
1 물론 공부를 안해서 지금 등급이67 입니다,1
내신 성적은 43 이었나 정확히 기억은 안나는데 4점대 초반인 거는 확실합니다,1
오늘 2학년 1학기 기말고사를 보고나니 6등급 나올 것 같아요,1
저는 현재 한국사 공부 중이고 중급정도 수준 입니다,1
코로나로 학교에 들어가보지도 못하고 있는 고1 남학생입니다,1
저는 웹디자인을 공부중인 고등학생입니다,1
저는 19살 학교 밖 청소년입니다,1
내신 평균은 지금 현재 거의 449쯤 됩니다,1
전 내년에 고등학교를 들어가게되는 중3입니다,1
안녕하세요,2
안녕하십니까,2
이번 상담 신청이 세번째인데요,2
상담 신청이요,2
상담신청,2
사이버 상담신청,2
이번 상담 신청이 세번째인데요,2
그래서 상담을 신청합니다,2
그래서 이렇게 상담 신청해요,2
상담신청 했는데요,2
그래서 이렇게 상담을 신청합니다,2
그래서 상담신청을 합니다,2
정보검색이 원하하게 이루어지지 않아 이렇게 상담 신청을 합니다,2
정말 오랜만에 다시 상담신청하는데요,2
그래서 상담신청을 하게되었고요,2
또 상담신청을 하게 되었네요,2
그래서 이렇게 상담신청을 하게 되었습니다,2
너무 불안한 나머지 상담 신청을 하게 되었습니다,2
정말 답답해서 결국 여기에 상담을 요청하게 되었구요,2
항상 주니어 커리어넷을 이용하다가 처음으로 중학생용 상담도 신청 해보네요 ,2
저는 아직까지 진로를 결정하지못하여서 진로상담을 신청하게되었습니다,2
진로 문제로 머리속이 복잡해 상담 신청합니다,2
진로를 못 정했어요,2
진로 상담 신청합니다,2
그레서 아직까지 진로 계획을 정하지 못하고 있습니다,2
진로를 못 정했습니다,2
진로상담신청합니다,2
앞으로 자주 상담신청하겠습니다,2
상담신청을 보낸 최용현이라고 합니다,2
자발적으로 상담하는거니까 친절한상담 부탁드려요,2
상담 신청합니다 도와주세요,2
하루에 2번이나 상담을 신청하네요,2
제가 오늘 처음으로 상담을 신청했어요,2
그래서 여기에 상담을 조금 받아보려고 합니다,2
그래서 다른 분들의 개인경험을 듣기 위해서 이렇게 상담신청을 하게 되었습니다,2
어쨌든 상담내용은 이거에요 슬럼프가 끝나고 지금은 커미션도 받고 소설도 여전히 연재하면서 보내고있습니다,2
제목과 같은 이유 때문에 상담을 신청하게 됐습니다,2
여기에 상담신청을 하기 전 제 친구 부모님에게 제 걱정을 털어놓고 상담을 받아보기도 했습니다,2
진로상담을해야합니다,2
진로의관해서 상담,2
진로상담,2
요즘 진로에 대해 고민이 많아져 상담을 신청합니다,2
최근들어 저의 진로에 대한 고민이 깊어져서 상담을 신청하게 되었습니다,2
제 진로에 대해서 고민이 되어서 이렇게 상담신청을 합니다,2
요즘 제 진로에대해 심란해서 고민끝에 진로상담을 신청해요,2
요즘 진로 고민 때문에 스트레스를 너무 받고 있어서 답답한 마음에 이렇게 상담 신청을 하게 되었습니다,2
조언부탁드려요   ,2
조언 부탁드립니다 ,2
조언 좀 부탁드리겠습니다,2
조언 부탁드려요,2
조언 많이 많이 부탁드립니다,2
부디 조언 부탁드려요 ,2
조언 좀 부탁드립니다,2
부탁드리겠습니다,2
부탁드려요,2
그래도부탁드립니다 ,2
부탁드립니다,2
부탁드릴게요,2
답변부탁드립니다,2
답변 부탁드립니다,2
좋은 조언 부탁드립니다,2
좋은 답변 부탁드려용  꺄륵 ,2
좋은 답변 부탁드릴게요,2
좋은답변 부탁드립니다,2
좋은 답변 부탁드립니다,2
제발 저 좀 도와주세요,2
제발 저좀 도와주세요  ,2
제발 도와주세요 ,2
제발 저를 도와주세요,2
부디 도와주세요 ,2
저좀도와주세요  ,2
저 좀 도와주세요 ,2
저좀 도와주세요,2
좀 도와주세요 ,2
저를 도와주세요,2
도와주세요,2
어떡해야하나요 ,2
어떡하죠 ,2
어떡하나요,2
너무 막막합니다,2
막막해요,2
너무너무 막막하네요,2
너무 막막해요,2
란 고민입니다,2
이게 너무 고민입니다,2
이게 고민입니다,2
고민입니다,2
고민중입니다,2
그래서 고민입니다,2
제 고민입니다,2
그래서 저는 고민입니다,2
어떻게 하면 좋을까요,2
저는 어떻게 하면 좋을까요,2
어떻게 하는게 좋을까요,2
제가 어떻게 하는게 좋을까요  ,2
저 어떻게 하면 좋을까요,2
저는 어떻게 하는것이 좋을까요,2
어떻게 해야 좋을까요,2
어떻게하는게 좋을까요,2
그리고 저는 어떻게 하는게 좋을까요,2
어떻게해야 좋을까요,2
어떻게 하는 것이 좋을까요,2
어떨게 하면 좋을까요,2
어떻게 하는게 좋을까요 ,2
저는 어떻게 하는게 좋을까요,2
고민됩니다,2
라는 고민이 되더라구요,2
고민되네요,2
휴 너무 고민이 되네요,2
너무 고민이 됩니다,2
그런데 많이 고민이 되더라고요,2
저는 어떻게 해야할까요,2
저는 어떻게 해야 할까요,2
어떻게 해야할까요,2
어떻게 해야 할까요,2
저 어떻게 해야할까요,2
어떻게해야할까요,2
어떻게 해야될까요,2
어떻게 해야 될까요,2
어떻게 하면 될까요,2
어떻게 해야될까요 ,2
저 어떻게 해야 될까요,2
저 어떻게 해야될까요,2
제가 어떻게 하면 될까요,2
어떻게해야될까요,2
저는 어떻게 해야 될까요,2
어떡하면 좋을까요,2
어떡하면 좋죠,2
저 어떡하면 좋을까요,2
어찌해야할까요,2
그걸 잘 모르겠습니다,2
잘 모르겠어요,2
잘 모르겠어용,2
근데 저는 아직 잘 모르겠어요 ,2
근데 아직도 잘 모르겠어요 ,2
그래서 잘 모르겠습니다,2
저도 잘 모르겠습니다,2
근데 어떻게 해야 할지 모르겠어요,2
어떻게 해야할지 모르겠어요,2
어떤 알바 해야 할지 모르겠어요,2
어떻게 해야할지 모르겠습니다,2
대체 어디서 어떻게 해야 할지 모르겠어요,2
어떡해야할까요,2
제가 어떡해야 할까요,2
저는 어떡해야할까요,2
어떻게 해야 하죠,2
어떻게 해야할가요,2
어떻게 해야할지,2
어떻게 해야 할가요,2
이럴때는 어떻게 해야 할지 난감 합니다,2
근데 저는 또 다른 고민이 있습니다,2
고민이 있습니다,2
그런데 여기서부터 고민이에요,2
그래서 고민이에요,2
고민,2
너무 고민이에요 ,2
이럴 때는 어떻게 해야 할까요,2
진짜 어떻게해야 할까요 도와주세요,2
이런 저 어떻게 해야 할까요,2
이럴땐 어떻게 해야할까요,2
이런 경우 어떻게 해야할까요,2
어떻게 해야할까요 너무 힘들어요,2
어떻게 해야하죠,2
어떻게 하죠,2
어떻게 해야하나요,2
어떻게 해야지,2
어떻게 해야 하나요,2
같은데 모르겠다,2
모르겠어요,2
하 모르겠네요 ,2
저도 저를 모르겠어요,2
으아모르겠어요,2
모르겠습니다,2
어떻하면 좋을까요,2
어떻하는게 좋을까요,2
저 어떻하면좋을까요,2
딱히 없어요,2
사실 저는 잘 모르겠어요,2
아닌건지 잘 모르겠습니다,2
그냥 전체적으로 아무것도 모릅니다,2
솔직히 잘 모르겠습니다,2
사실 무슨 소리인지 정확히 잘 모르겠습니다,2
근데도 잘 모르겠어요,2
제 말이 너무 늘어놓기만하고 뭐가 가장 문제인지 모르겠어요,2
정말 모르겠어요,2
그런데 솔직히 아직 잘모르겠어요,2
그냥 아무것도 모르겠어요,2
저도 고민을 좀 해봤습니다,2
고민없음,2
제 고민 들어주세요 ,2
고민 좀 들어주세요,2
고민이 많아요,2
너무 고민이 많은데 털어놓을 곳이 없습니다,2
제가 요즘에 아주 큰 고민이 있어요,2
요즘 너무 고민이에요,2
이처럼 저는 많은 갈등과 고민 걱정이 있었고 이 모든 것은 아직도 진행중에 있습니다,2
그런데 한가지 고민이 있습니다,2
요즘들어서 고민이 많아졌어요,2
부디 제 고민을 들어주세요,2
뻔하디뻔한 고민이죠,2
요즘 저한테 고민이 있어요,2
요즘 저에겐 고민이 있습니다,2
너무 고민이 많아서 엉망으로 적은것 같네요 ,2
그리고 여러가지 고민도 있습니다,2
가장큰고민이 있습니다,2
그런데 얼마전에 고민이 생겼습니다,2
그럼 이만 물러나겠습니다,2
그럼 안녕히게세요,2
그럼전이만 아D5스,2
너무 두서없지만 너무 막막해서 보냅니다,2
라는 생각을 항상 해왔습니다,2
그런 생각들이 먼저 떠오르더라고요,2
등 여러가지 복잡한 생각때문에 너무 힘들어요,2
라는 생각으로 너무힘들어요,2
라는 생각에 마음이 더욱 안따라와주는 것같아요,2
생각이 많아집니다,2
생각해보니까 질문이 너무 광범위한 것 같네요,2
라는 생각도 해봤어요,2
라는 생각도 있었어요,2
라는 생각을 하곤해요,2
라는 생각을 하게 되었습니다,2
라고 생각하게 되었어요,2
라는 생각이 들기 시작했습니다,2
라는 생각이 들기도 합니다,2
라는 생각이 문득 들곤 합니다,2
제발 더이상 물어볼곳이 없어요,2
아무리 찾아보아도 제 궁금증을 인터넷에서는 찾을 수가 없어 커리어넷에 여쭤보게 되었습니다,2
라는게 없어요,2
미래 나의 진로에 대해 고민이다,2
진로에 대해 알아보려고,2
제 진로에 대해 부정당하는 기분이에요,2
그렇게 심하진 않았지만 지금도 진로에 대해서 많은 고민이 있어요,2
요즘 진로의 대해 고민이 많구요,2
작년에 진로에 대해 생각을 가지고 있지 않다가 고등학교에 올라 왔었어요,2
진로의 대한 걱정이 많습니다,2
요즘 진로에 대해 고민이예요,2
여기서 많은 고민이 들었습니다,2
요즘 제 진로에 대해 고민이 꽤나 가고 있는대요,2
저는 현재 진로에 많은 고민이있어요,2
요즘 부쩍 진로에 대한 고민이 더 많아진거 같아요,2
최근 저의 진로에 관해서 고민이 있습니다,2
현재 여러모로 고민이 많은데요,2
그래서 고민이 더 많습니다,2
최근 1주일 동안 나의 진로에대해 정말 많은 고민을 해봤어요,2
요즘 진로 생각에 걱정이 많은 17세 여학생입니다,2
올해 고2가 되는데 진로에 대해서 고민이 많아요,2
라는 생각이 자꾸 들어요,2
해 이런 생각이 들었습니다,2
해도 안될것같은 생각만 가득 들더라구요,2
이런생각이 계속들거같은데,2
란 생각이 들어 질문드립니다,2
라는 생각이 들기도 해요,2
그때 알았어요,2
혹시 있다면 알려주세요,2
알아요,2
알려주실수있다면 알려주세요,2
저도 알아요,2
좀 알려주세요,2
알려주세요,2
알고싶어요,2
어떻게 해야 되나요,2
어떻게 해야되나요,2
진로를 찾고싶어요,2
어서 진로를 찾고싶습니다,2
차이를 알려주실수 있나요,2
좀 자세히 좀 알려주세요,2
자세히 알려주세요,2
방법을 알려주세요,2
자세한 방법을 알려주세요,2
자세히 좀 알려주세요,2
그리고 여기서 질문입니다,2
질문입니다,2
저 어떡해야될까요,2
그래서 직업을찾기 어렵다,2
어떻게 하나여,2
어떻하죠,2
저의 궁금증을 풀어 줄 수 있을까요,2
알려주실 수 있으신가요,2
어떻게하면 좋을까요,2
어떻게하면 좋을까요 ,2
이런 것 때문에 고민입니다,2
그래서 더 문제입니다,2
현재 저의 제일 큰 고민 중 하나입니다,2
정말 너무 걱정입니다,2
요즘 가장 고민인 것들 입니다,2
너무너무 고민 입니다 도와주세요,2
안녕 하세요,2
인녕하세요,2
녕하세요,2
안녕라하세요,2
진로 문제로 부모님과 지금까지 많은 마찰이 있어 해결책을 찾다가 이렇게 상담신청을 하게되었네요,2
더는 시간낭비하고 후회하고싶지 않아서 도움 청해봅니다,2
저희 영어학원에서 문법진도는 다 끝이 나서 단어와 독해를 중심적으로 하고 있습니다,2
이번 2023수능을 보게 된 예비고3으로서 방학동안 명확하게 정하고 싶어서 상담글을 올립니다,2
그리고 무엇을 하고싶은지도 잘 모르겠어요,3
제가 아직 무엇을 하고싶은지 잘 모르겠어요,3
솔직히 제가 무엇을 잘 하는지 모르겠습니다,3
아직까지 제가 잘하는것도 모르고 제 장점을 모르겠습니다,3
이럴떈 어떻게 해야할까요,3
어떻게 해야 할까요 ,3
저 어떻게 해야 할까요,3
어떨게 해야할까요,3
면 어떻게 해야할까요,3
대체 어떻게 해야 할까요,3
어떻게 해야할까요 너무 우울하네요,3
저는 어떻게 무엇부터 해야 할까요,3
저는 잘하는게 없어요,3
저는 옛날부터 잘하는게 없었는데요,3
잘하는 것도 없어요,3
저는 잘하는 것도 장점도 없어요,3
저는 제가 생각하기에는 특별히 잘하는게 없는 것 같습니다,3
하고싶은 것이 없어요,3
잘하는게 아무것도 없으면 어떡해야하나요,3
저는 아직 하고싶은일이 없어요,3
무엇을 해야할까요,3
저는 무엇을 해야할까요,3
저는 무엇을 해야 할까요,3
저는 대체 무엇을 해야 할까요,3
대체 저는 무슨 일을 해야할까요,3
근데 뭐부터 해야할지 모르겠어요,3
제가 뭘 해야 하는지 모르겠습니다,3
다만 뭘 해야할지 모르겠어요,3
뭐든 열심히 해서 어디가서든 잘 할 자신은 있어요,3
뭘 해야할지 모르겠음,3
커서 뭐해야할지 모르겠습니다,3
진로를 결정하지 못했으니 진도도 못 나가는 것이 당연하고요,3
저는 아직 진로를 정하지 못했습니다,3
아직 진로를 정하지 못했습니다,3
저는 아직 진로를 정하지 못하였습니다,3
저는아직 진로를 정하지 못했습니다,3
그런데 저는 아직 진로를 정하지 못했어요,3
아직 진로를 정하지 못해서 불안해요,3
저는 제가 뭘 잘하는지 잘해야하는지 뭘 하고싶은지를 정하고싶습니다 어떻해 해야할지 알려주세요,3
저는 어떻게 살아가야 하죠,3
그리고 경험을 많이 쌓아으려면 어떻게 해야하나요,3
그래서 저와 같은 경우에는 어떻게 해야 하나요,3
앞으로 제가 어떻게 해야할지 궁금합니다,3
꿈이 없어요,3
저는 꿈이 없어요,3
아직꿈이없어요,3
저는 아직 꿈이 없는거 같습니다,3
저는 아직 제꿈이 없어요,3
저는 일단 꿈이 없습니다,3
아직 저는 꿈이 없습니다,3
아직까지 꿈이 없어요,3
저는 꿈이 없습니다,3
꿈이 아직 없어요,3
저는 아직 꿈이 없습니다,3
근데 저는 아직 꿈이 없어요,3
근데 또 제가 하고싶은건 많아요,3
저는 하고 싶은게 너무 많습니다,3
하고싶은게 너무 많습니다,3
근데 하고 싶은게 너무 많아요,3
그래서 하고싶은것도 많아요,3
저는 하고 싶은것들이 너무 많은것같아요,3
어떤 것을 우선하는것이좋을까요,3
저에게 맞는 직업이 뭔지 모르겠습니다,3
이런 저에게 어떤직업이 맞을지 잘 모르겠어요,3
아직까지 나에게 맞는 직업이 뭔지를 잘 모르겟다,3
혹시 저에게 잘 맞을 것 같은 직업 추천해주실 수 있을까요,3
나에게 맞는 직업이 뭔지 잘모르겠습니다,3
제가 원하는 직업을 모르겠어요,3
저한테 맞는 직업이 무엇인지 잘 모르겠어요,3
나에게 밪는 직업이 뭔지 잘 모르겠다,3
나에게 맞는 직업이 무엇인지 모르겠다,3
미래에 나에게 맞는 직업이 무엇있는지도 잘 모르겠습니다,3
무슨직업이 나한테 적성에 맞는지 뭐에 흥미가 있는지 아직 잘 모르겠고 대중적인 직업은 대충아는데 모르는 직업도 많은 것 같아서 알고싶다,3
자세히 얘기해보자면 제 적성에 맞는 직업을 찾는 방법을 모르겠습니다,3
어떤 직업을 가지는 것이 나한테 맞는 건지 모르겠습니다,3
제가 무슨직업을해야할지 모르겠습니다,3
그래서 장래희망을 잘 모르겠다,3
저에게 뭐가 더 잘 맞을 지 모르겠어요,3
미라 유망 직업과 과학 관련 분야에 대한 직업을 탐색하며 저에게 맞는 직업을 정확히 찾아 목표를 정할 수 있는 시간을 갖고 싶습니다,3
다양한 진로 사이트에서 진로적성검사를 해도 제가 생각할때는 저에게 맞는 직업이 없는것 같드라구요,3
특별히 원하는 진로도 없고 매번 하고 싶은 일이 달라서 직업적성검사나 성격유형검사를 해도 결과가 만족스럽지가 않습니다,3
제가 하고싶은 진로나 맞는 진로를 찾을려고 적성검사를 엄청 많이 해보고 직업도 많이 찾아봤는데 하고싶은 직업이나 맞는 진로가 없어요 ,3
최근에 관심이 생긴 직업이 몇있지만 딱히 이 직업을 가지기위한 노력을 하지않고있는것 같습니다,3
제가 하고 싶은 직업을 찾고 싶어서 진로검사를 해보았는데 제 마음에 드는 직업도 없고 하고 싶는 직업이 없습니다,3
그리고 주위가 자꾸 말리는 듯이 말하고 친구들에게 너는 꿈이 바뀔 거 같지 않냐고 물으면 다들 지금 바꾸는 건 아니지 않냐고 그래요,3
남들보다 빨리 성공하고싶다는 생각도 들고 학교도 안다니며 자격증도 하나 없고 꿈도 제대로 못정해서 더 조급한 생각이 들어요,3
어렸을 때는 검사 등의 조금 어려운 꿈을 꿨었지만 고등학교에 오니 제 성적 수준을 알게 되면서 꾸던 꿈도 사라지고 공부를 하고 싶은 욕구도 사라지는 중이에요,3
대학 준비할 때 1학년 때부터 같은 꿈을 꾸준히 갖고 생기부에 쓰는게 더 좋다고 들어서 1학년 때부터 꾸준히 꿈으로 적고 싶은데 꿈이 없으니 너무 막막해요,3
고등학교 2학년 학생입니다 하고 싶은 일 없이 막연하게 학교 생활을 보내고 있으며 목표가 없으니 공부도 잘 되지 않고 1학년 내신은 이미 35등급으로 왠만한 대학교의 수시 최소라인에도 미치지 못합니다,3
제 장점을 모르겠어요,3
그래서 변호사를 장래희망에 적었었는데 지금은 잘 모르겠어요,3
난지금 내가 뭘잘하는지를모르고 나의 장점을 잘모르겠다,3
저는 제가 아직 진정으로 잘 해낼 수 있는 일이 무엇인지 잘 모르겠습니다 ,3
그런데 현실적으로 봤을 때에는 이게 가능한 일인지 잘 모르겠어요,3
그래서 저도 제가 잘 모르겠고 힘드네요,3
면잘 해낼 수있을 지도 모르겠고요,3
저는 제 성격도 모르고 제 장단점도 모릅니다,3
제가 성격이 부정적성향이 강해서 장점같은걸 잘 모르겠어요,3
제가 뭘 좋아하는지 잘 모르겠어요,3
저만 그런거인지는 모르겠지만 저의 주위의 친구들은 자신들의 특징을 잘 알고있더군요,3
저가 뭘잘하는지 모르겟습니다,3
그렇다보니 그거 말고 제가 뭘 원하는지 잘 모르겠어요,3
그래서 왠지모르게 더 제 자신이 답답하고 자존감도 떨어집니다,3
취미도 모르겠고 ,3
세상에서 제가 저를 제일 모르는 거 같아서요,3
이미 뒤쳐진걸까 늦은걸까 난 성공할 수 없는걸까라는 생각이 심각하게 들어서 살고싶지 않아요 ,3
그리고 학생부 종합으로 가려면 진로가 3학년때까지 바뀌지 않고 쭉 이어지면 좋다고 들어서 이번 기회에 저의 꿈을 확실하게 결정내고싶습니다,3
딱히 좋아하는 것도 없어요,3
딱히 좋아하는것도 없고 취미도 없어요,3
정말 제가 좋아하는것은 침대에 누워 뒹굴거리는 것 밖에 없어요,3
저는 좋아하는 것이나 싫어하는 것이 딱히 없습니다,3
좋아하는 것도 없고요,3
딱히 좋아하는 것 도 없구여,3
다른사람은 잘 알면서 정작 저에 대해서는 잘 모르고 있었던 것 같아요,3
제 적성도 아직은 잘 모르겠어요,3
저는 아직 저에게 맞는 전공이 뭔지 모르겠습니다,3
여기에 적는 건지 잘 모르겠지만 맞다면 다행이고 아니라면 죄송합니다,3
저의 장점 흥미를 잘 모르겠어요,3
역시 이게 저한테 맞는 길인지 잘 모르겠어요,3
적성검사같은것도 많이 해봤지만 잘맞는지 모르겠어요,3
저는 제가 원하는 것을 모르겠어요,3
제 적성도 모르겠고 뭐에 흥미가 있는지도 잘 모르겠습니다 도와주세요,3
평소에는 34등급의 성적이지만 꿈이 정해지면 학과의 맞춰 중요 과목만 2등급으로 올릴 생각입니다,3
성적은 안나오지 가치관도 뚜렷하지 않지 확고한 선택이 없어서 큰 일 입니다,3
저의 특성을 알고 싶은데 모르겠습니다,3
이번 기회에 찾을 수 있다면 좋을 것 같습니다,3
저는 요즘 직업에 대해 고민이 많습니다,3
저는 아직 꿈이 확실하지 않습니다 하지만 관심분야는 있습니다,3
꿈은 찾았는데 직업이 많아서 꿈 찾기가 애매합니다 ,3
그래서 요즘 저에대해서 관심을 가질 시간이 별로 없어요,3
이전에는 생명에 관심이 있었던지라 동아리를 이 쪽으로 잡아둔거였는데 지금은 진로가 바껴서 어울리다고 생각하지는 않습니다,3
저는 지금 처음으로 제 진로에 대한 걱정을 하고 있습니다,3
막상 진로를 결정했지만 제 성적은 받쳐주지 못하고 있는 상황이라 진로를 바꾸어야 할지 고민입니다,3
근데 저는 고등학생 인데도 진로를 아직 못 정했다는게 너무 속상합니다,3
저는 진로를 정하지 못한 남학생입니다,3
고원래 경영 경제 세무 회계쪽으로 가려던 고 2 학생입니다 딱히 하고싶어서 간 건 아니었고 주변 사람이 가길래 뭐라도 목표를 잡아야 할거같아서 잡은 것 뿐이었어요,3
그래서 처음엔 그 꿈을 키워나갔지만 어느 순간 내가 이걸 할 수 있을 까 라는 의문이 들고 의심으로 이어져 불안해하고 자신감이 없어져 그 꿈이 사라 졌었어요,3
근대 그런게 없다고 해도 제가 꿈이 없는데 어떡게 해야하죠,3
어렸을 때는 정말 많은 꿈들이 있었고 매일 매일 그 꿈을 이룬 나 자신을 떠올리면서 지냈는데 이제는 모든 것들이 따분하고 꿈을 가지든 말든 공부부터 해야 한다는 생각을 많이 하였습니다,3
그땐 대학교 이후의 제 미래까지 다 그려놓았던 저였기에 더 불안했던것 같아요,3
대학교를 정하라는 선생님들의 말씀에 일단 선문대학교 진학을 목표로 하고는 있지만 전공과목을 중점으로 공부했던 저는 다른 학생들을 따라 잡기에는 한없이 부족한 성적이라는 것을 이미 알고 있습니다,3
근데 제가 딱히 꿈이 없었습니다,3
그런데 그럴때 마다 나만 꿈이 없어서 눈치가 보입니다,3
꿈이 없으니까 목표도 없고 희망도 없습니다,3
솔직히 저는 꿈이 없습니다,3
저는 어릴떼부터 꿈이 없었어여,3
원하는 장래희망이 아직까지도 없어요,3
며칠 전까지는 꿈이 전혀 없었어요,3
초등학생 고학년때부터 쭉 꿈이 없었어요,3
그래도 계속 이어나가고 싶었는데 점점 이 직업을 선택하고 꿈을 이뤄나가기에는 시기가 너무 많이 늦은거 같은 생각이 요새 부쩍 들고 있습니다,3
저는 어렸을때부터 승무원 호텔리어 에 관심이 많았고 지금은 현실을 알고 포기한 느낌이랄까요,3
근데 이제는 진짜 제 꿈을 적어보고 싶어요,3
주변에 확고한 꿈을 가진 친구들도 많이 없고 자꾸 그러다 보니 성적맞춰서 대학가는게 제일인가하는 생각도 들게되요 나에게 맞는 직업을 찾아나가는 방법이 확실하게 있을까요,3
아니면 새로운 꿈을 찾아보는게 좋을까요,3
이젠 그런 진로관련 영상만 봐도 다 알고있는 내용일 정도로 셀 수없이 봐왔습니다,3
그냥 다 때려치우고 싶고 극단적인 생각도 가끔씩 들어요,3
그러다보니 막상 저의 진로에 대해 생각할 수 있는 시간이 점점 줄어들었고 지금의 결과가 나오지 않았나 싶은 생각입니다,3
저는 늦어도 2학년 1학기가 끝나기 전에는 진로를 선택하겠다는 마음으로 방학이 시작했을 때부터 여러 진로를 찾아보고 있는데요,3
지금 고2 인데 진로를 결정 못해 앞이 막막합니다,3
지금이라도 진로의 방향을 바꿔야 할까요,3
지금이라도 진로를 바꿔야 할까요,3
1학년 때는 남들보다 먼저 진로를 정했고 그 길만 바라보며 3년을 지내왔는데 모든게 허무합니다,3
제가 진로를 빨리 결정해서 학교에서 맞는 활동을 해나가고 싶은데 아직 저의 정확한 진로를 못 결정하겠어요,3
제 주변 친구들은 진로나 학과를 정한거 같은데 저는 아직 못정했어요,3
그래서 아직 진로에 대해 결정하지 못 했는데 생기부에 자신의 진로와 맞도록 일관되게 쓰면 대학 진학에 더 유리하잖아요,3
